course_name,teacher_no,semester,max_students,enroll_start,enroll_end,grade_deadline
Python程序设计,T20240022,2025-2026-2,72,2026-02-01 08:00:00,2026-03-01 23:59:59,2026-07-15 23:59:59
Python程序设计,T20240022,2025-2026-1,120,2025-07-01 08:00:00,2025-09-15 23:59:59,2026-01-31 23:59:59
Web开发技术,T20240018,2025-2026-1,78,2025-07-01 08:00:00,2025-09-15 23:59:59,2026-01-31 23:59:59
Web开发技术,T20240025,2024-2025-2,64,2025-02-01 08:00:00,2025-03-01 23:59:59,2025-07-15 23:59:59
Web开发技术,T20240018,2026-2027-1,80,2026-07-01 08:00:00,2026-09-15 23:59:59,2027-01-31 23:59:59
机器学习,T20240024,2025-2026-2,97,2026-02-01 08:00:00,2026-03-01 23:59:59,2026-07-15 23:59:59
机器学习,T20240003,2025-2026-1,96,2025-07-01 08:00:00,2025-09-15 23:59:59,2026-01-31 23:59:59
机器学习,T20240024,2026-2027-1,83,2026-07-01 08:00:00,2026-09-15 23:59:59,2027-01-31 23:59:59
计算机组成原理,T20240017,2025-2026-2,75,2026-02-01 08:00:00,2026-03-01 23:59:59,2026-07-15 23:59:59
计算机组成原理,T20240007,2024-2025-2,105,2025-02-01 08:00:00,2025-03-01 23:59:59,2025-07-15 23:59:59
计算机组成原理,T20240018,2024-2025-1,101,2024-07-01 08:00:00,2024-09-15 23:59:59,2025-01-31 23:59:59
概率论与数理统计,T20240009,2025-2026-1,116,2025-07-01 08:00:00,2025-09-15 23:59:59,2026-01-31 23:59:59
概率论与数理统计,T20240016,2026-2027-2,89,2027-02-01 08:00:00,2027-03-01 23:59:59,2027-07-15 23:59:59
概率论与数理统计,T20240016,2024-2025-2,82,2025-02-01 08:00:00,2025-03-01 23:59:59,2025-07-15 23:59:59
数字逻辑,T20240007,2025-2026-2,101,2026-02-01 08:00:00,2026-03-01 23:59:59,2026-07-15 23:59:59
数字逻辑,T20240012,2026-2027-1,65,2026-07-01 08:00:00,2026-09-15 23:59:59,2027-01-31 23:59:59
数字逻辑,T20240008,2024-2025-1,114,2024-07-01 08:00:00,2024-09-15 23:59:59,2025-01-31 23:59:59
